09:26:38.196 | 18 ff | 0031 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d c8 30 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 bf c6 57 24 ed f8 d4 b7 5c 76 39 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cf d9 52 39 39 ef 81 e2 07 38 d0 8a af 04 03 3b 67 1a 4b 09 4c be aa 4f 90 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 6d 87 1d 9c 8b ee e4 92 05 a9 74 df 66 ea c6 e8 93 cf 12 54 a3 e5 41 b5 70 eb 2d 6b 6c d8 e8 c4 2d df c3 6f d9 21 fe f3 59 43 e1 e4 78 52 b2 b5 6e 65 d4 4f a3 13 2c 96 65 44 74 67 37 3c 81 ac 6c d5 4c c3 f5 0b 74 27 78 be ec 4c a2 b4 f1 ca  |  -94 CRC error
09:26:38.243 | 18 7d | 32769 | cf 16 d2 09 1a 5a 0a 4c 08 fc 97 8f 1f 98 c9 16 e4 1c 1f c8 70 6f 2a 6d e5 62 fd a9 8d dd 2e e1 39 65 df 98 b2 3f cb 57 14 ef f8 44 b6 3c 76 29 2a 5d 9e 57 61 d9 08 2d 46 3b b1 95 a7 52 58 52 9f c2 49 b1 4e 8c 99 5f 8d 35 91 b1 24 fc cf 81 50 90 89 75 eb dd 52 2d 39 eb 49 2e 0b 38 5c 5b af 04 11 3b e7 1b 4f 09 0c 9e aa 4f 12 a3 97 b7 1d 15 24 1d f4 d8 de e8 e6  |  -95 CRC error
09:26:38.291 | 18 ff | 0034 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d c8 30 6f 3a 75 65 60 fd a9 8c dd ef 61 00 65 dd 9e a2 bf c6 57 14 ef f4 ac b3 58 66 ba 2a 5f 1e ff e1 7a 29 89 64 3b b1 95 8f cb 79 52 8f d6 a0 71 0e 87 98 df 0e b5 b1 bd 21 fc ce 01 60 90 88 47 cb 59 52 2d 39 eb c0 27 04 18 54 6b af 0c 83 39 27 0a 4f 81 49 de aa 4f 90 62 97 d5 0d 5d 24 1d f4 58 d6 e9 c6 4d d5 9f 26 ae 9d a3 32 0c 02 86 84 f1 24 7e 68 6e db 56 a5 65 15 82 bb 4c b8 5e 72 ad 64 c3 35 f6 14 85 11 70 0e 54 4b d6 81 b1 65 41 2d e9 f8 3f 39 6f 84 9c 9c ca ee e2 92 05 a9 36 de 66 88 c6 e0 ab c5 76 9c a2 c5 51 ac d2 6a e5 6e ee c8 ea e5 0d 4c 53 c7 6d 09 cf f3 69 43 c0 e4 70 b2 a3 b7 48 65 fc 4f ab 13 2d 16 04 20 64 69 3f 3c 81 ae 64 d5 4c c1 d5 0f 5c 27 48 ee ec 8c c6 38 77 dc  |  -94 CRC error
09:26:38.337 | 18 ff | 0036 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d c8 30 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 bf c6 57 24 ed f8 d4 b7 5c 76 39 2a 5d de 3f 61 d9 08 e9 66 3f b9 f5 a7 c2 59 5a 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 58 af 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a ac 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c ef ee 0f 69 6d 87 1c 9c 8b ee a4 92 85 a9 7c df a6 eb c6 e8 93 ed 12 6c a3 e5 41 35 f9 cb a6 ee 35 d8 ea c4 3c 1d c2 97 41 3b ff a3 79 43 79 e7 78 ac 12 b7 ee 15 da 0d 61 3b 2a 8e 45 05 c4 64 25 3c 41 ac 2c d5 44 c5 6c 48 54 27 78 be ec 4c 26 70 71 c8  |  -93 CRC error
09:26:38.437 | 18 8f | 0070 | cf 06 c6 39 02 79 0a 7c 08 d8 97 8f bf b8 87 36 60 12 53 88 30 2b 1a 77 05 63 fd a9 8c dd ec e1 01 15 dd be b2 bf c6 57 24 e9 f8 d4 b7 5c 76 39 2a 7d 92 7f 65 d9 09 e9 a6 3f b1 95 97 e2 59 52 9f e2 29 b9 4e 87 99 5f 05 35 91 97 25 fc cf 81 61 d0 88 59 cb d1 52 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b  |  -92 CRC error
09:26:38.484 | 18 ff | 0043 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d c8 30 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 bf c6 57 24 ed d8 94 37 5c a6 31 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 15 c1 72 46 14 05 14 78 06 d8 4a dc 81 a7 6c 10 7a cd e9 6f 7b 6d e7 1d bc 8b f6 e4 92 01 a9 7c db 2d e8 c6 e8 53 cf 12 5d a7 f5 41 bd 50 eb ac 2a 4e da 78 75 3c 1f 42 fb f8 f1 ef bf 78 7b fc e4 6b 5a fa b3 0c 65 dc 4f a9 95 2d 9c 64 60 f8 64 75 3c a1 a8 64 c6 50 c2 f5 2f 1c 25 58 7e ae 6c 82 8d e2 c2  |  -94 CRC error
09:26:38.570 | 18 ff | 0049 | cf 06 d6 39 0a 5b 0a 4c 08 bc 97 8f be 98 c7 36 64 1c 1d c8 30 6f 22 75 65 60 fd a9 8c dd ee e1 01 05 e3 fd ba bf c6 57 14 ed 38 dc b7 78 7a 31 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a 4b 09 4c be ba 49 9c e2 97 f7 6d 95 24 3a f5 d8 ee e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 6d 87 1d 7c bb ee e6 92 05 69 74 df 66 e2 f6 e8 ab cf 15 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 c4 3c 1f 42 77 79 31 ef f3 59 43 e1 e4 78 52 b2 b7 6e 65 dc 4f a3 13 2c 96 65 44 74 67 37 3c 81 ac 6c d5 4c c3 f5 0b 74 2f 78 be ec 4c b2 b4 f1 cc  |  -94 CRC error
09:26:38.632 | 18 ff | 0052 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d c8 30 6f 3a 75 61 70 fd a9 8c dd aa c9 a3 e5 9c de b2 bf c6 57 24 ed f8 d4 b7 5c 72 39 2a 5d 9e 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a 4b 19 2c b6 aa 4a 96 62 95 95 0d fd 24 dd fd d8 de e8 e6 4b f5 93 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 6d 87 1d 9c 8b ee e4 92 05 a9 74 df 68 e9 c4 e9 93 cb 12 52 b1 cd 41 89 f0 eb a5 6a 6e d8 e8 c4 3c 1f 42 67 79 31 ef f3 59 43 e1 e4 78 52 b2 b7 6e 65 dc 4f a3 13 2c 96 65 44 74 67 37 3c 81 ac 6c d5 4c c3 fd 0b 74 27 78 bc ec 4c a2 b4 f1 ca  |  -93 CRC error
09:26:38.716 | 18 ff | 0056 | cf 06 d6 39 0a 5b 0a 4c 08 fc 97 8f be 98 c7 36 64 1c 1d c8 30 6f 3a 75 65 60 fd a9 8c dd ee e1 01 65 dd be b2 b9 d6 70 04 e5 b8 d4 b3 4c 76 3b 2a 0d 9e 71 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 99 b1 25 fc ce 81 60 90 88 3f cb d9 52 2d 39 eb 41 2e 0b 38 50 5b af 04 03 3b 67 1a 4b 09 4c be aa 4f 92 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6a 8b d6 85 65 99 82 da ee f8 d2 d3 2f 77 c3 73 46 14 05 84 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 7b 6d 87 1d 9c 8b ee e4 92 05 a9 74 df 66 ea c6 e8 93 cf 12 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 c4 3c 1f 42 67 79 31 ef f3 59 43 ed e4 78 52 b2 af 6e 66 94 6f b3 12 ac 96 e1 45 74 67 37 3c 81 ac 6c d5 4c c3 f5 0b 74 27 78 be ec 4c a2 b4 f1 ca  |  -93 CRC error
09:26:38.778 | 18 ff | 0059 | cf 06 d6 39 0a 7b 0a 4c 08 f4 97 87 5f 9b c7 36 64 f0 1d c8 30 6f 3a 75 45 60 fd a9 8c dd ee e1 01 65 fd be b2 bf c6 57 24 ed f8 d4 b7 5c 76 39 2a 5d de 7f 61 d9 08 e9 66 3f b1 95 af c2 59 52 9f c2 29 b1 4e 87 99 5f 8d 35 91 b1 25 fc ce 81 60 90 88 39 cb d9 52 2d 39 eb 41 2e 09 24 54 5a af 04 43 3a 66 96 2f 89 6c bc aa 4e 90 e2 97 b7 0d 9d 24 1d f4 d8 de e8 e6 4b f5 9b 2a a8 9d a7 3b 15 b3 84 84 e0 a4 ff 68 6e 8b d6 85 75 99 82 3a 6b ba 54 66 3f 75 c3 73 46 14 05 94 78 06 dc 4a dc 81 b3 2d 41 6c e9 e9 2f 5b 4d a6 0f 98 a9 e8 66 93 05 a9 78 5f 28 ca c6 e8 b3 cf 12 54 a3 e5 41 b5 f0 eb a5 6a 6e d8 e8 c4 3c 1f 42 67 79 31 ef f3 59 43 e1 e4 78 52 b2 b7 6e 65 dc 4f a3 13 2c 96 65 44 74 67 37 3c 81 ac 6c d5 4c c3 f5 0b 74 27 78 be ec 4c a2 b4 c9 ca  |  -94 CRC error
